open;close;high;low;value;volume;begin;end
11153.93;6404.97;11303.78;4701.99;1243109926848.4202;0;2022-02-01 00:00:00;2022-02-28 00:00:00
12189.53;11047.01;12546.34;9774.44;1157572508160.15;0;2022-01-01 00:00:00;2022-01-31 00:00:00
12894.08;12064.54;13220.12;11184.37;694641315894.29;0;2021-12-01 00:00:00;2021-12-30 00:00:00
13895.25;12842.58;14559.12;12121.89;661307993004.45;0;2021-11-01 00:00:00;2021-11-30 00:00:00
13256.18;13894.02;14744.03;13207.59;551041677125;0;2021-10-01 00:00:00;2021-10-29 00:00:00
13366.43;13336.34;13764.98;12915.28;394956362585.4;0;2021-09-01 00:00:00;2021-09-30 00:00:00
12546.86;13348.34;13913.81;12499.26;370719497013.14996;0;2021-08-01 00:00:00;2021-08-31 00:00:00
12621.18;12497.63;13060.96;12142.04;301227939935.80005;0;2021-07-01 00:00:00;2021-07-30 00:00:00
12266.62;12601.14;12697.51;11869.42;363286830816.80005;0;2021-06-01 00:00:00;2021-06-30 00:00:00
11664.18;12196.09;12324.12;11239.87;473399627077.64996;0;2021-05-01 00:00:00;2021-05-31 00:00:00
11162.02;11552.27;11755.39;11035.06;498218046306.54987;0;2021-04-01 00:00:00;2021-04-30 00:00:00
10216.93;11095.87;11159.76;9967.27;491518008348.5;0;2021-03-01 00:00:00;2021-03-31 00:00:00
9107.59;10164.83;10588.99;9107.59;472512121413.89996;0;2021-02-01 00:00:00;2021-02-28 00:00:00
